title,company,salary,location,description,skills,url,crawl_time
Chuyên Viên Quản Trị và Phát Triển Hệ Thống Phần Mềm Nhân Sự,Ngân Hàng TMCP Công Thương Việt Nam (VietinBank),Thương lượng,HN,"- Tham gia lập kế hoạch, triển khai, nâng cấp hệ thống. - Thực hiện quản lý tài khoản, phân quyền người dùng theo đúng quy định bảo mật. - Xử lý lỗi và đảm bảo hệ thống hoạt động thông suốt. - Phân tích yêu cầu nghiệp vụ nhân sự từ các đơn vị sử dụng. - Tùy chỉnh/phát triển mới các tính năng của phần mềm nhân sự theo yêu cầu nghiệp vụ","Tất cả danh mục, Dành cho Nhà tuyển dụng, Urgent, Hà Nội, Phần Mềm Máy Tính, Ngân hàng, HRIS, System Administration, Quản Trị Hệ Thống, SQL Server",https://www.vietnamworks.com/chuyen-vien-quan-tri-va-phat-trien-he-thong-phan-mem-nhan-su-2048313-jv,2026-05-24 15:59:22.740906
Chuyên Viên Phát Triển Phần Mềm (Hà Tĩnh),Công Ty Cổ Phần Vinsmart Future,Thương lượng,HN,"• Tham gia phân tích yêu cầu nghiệp vụ, thiết kế và phát triển các hệ thống phần mềm phục vụ • Tham gia xây dựng giao diện người dùng (UI), business logic và database cho các ứng dụng • Xây dựng và quản lý API, message service, interface service. • Hỗ trợ xử lý lỗi kết nối và đồng bộ dữ liệu giữa các hệ thống. • Xây dựng báo cáo sản xuất, chất lượng, tồn kho, traceability.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hà Tĩnh, Phần Mềm Máy Tính, Sản xuất, MES, ERP, manufacturing, Back End Developer, (Xem bản đồ)",https://www.vietnamworks.com/chuyen-vien-phat-trien-phan-mem-ha-tinh-2052992-jv,2026-05-24 15:59:22.106553
Chuyên Viên Tích Hợp Nền Tảng Dữ Liệu,Ngân Hàng TMCP Ngoại Thương Việt Nam - Vietcombank,Thương lượng,HN,"***Để đảm bảo hồ sơ được tiếp nhận xử lý, ứng viên cần nộp hồ sơ ứng tuyển trên website tuyển dụng chính thức của Vietcombank tại địa chỉ: https://tuyendung.vietcombank.com.vn Nơi làm việc: Phòng Tích hợp nền tảng dữ liệu - Trụ sở chính VCB 1. Khai thác và phát triển hệ thống tích hợp dữ liệu và báo cáo - Thiết kế và xây dựng các hệ thống tích hợp, khai thác dữ liệu từ các hệ thống gốc đến kho dữ liệu, nền tảng dữ liệu, nhà máy dữ liệu và ngược lại. - Xây dựng và quản lý các mô hình dữ liệu của các hệ thống ứng dụng/báo cáo đã được đưa vào vận hành.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hà Nội, Ngân hàng, Databricks, Lambda, Lưu Trữ Object Storage, Python Programming, Thiết Kế Hệ Thống, Senior Data Engineer",https://www.vietnamworks.com/chuyen-vien-tich-hop-nen-tang-du-lieu-2055502-jv,2026-05-24 15:59:31.252239
Trưởng Phòng Chuyển Đổi Số Nội Bộ - Trung Tâm Vận Hành Tối Ưu - Khối Vận Hành,Ngân Hàng TMCP Đại Chúng Việt Nam,Thương lượng,HN,"Điều hành hoạt động và chịu trách nhiệm trước BLĐ Trung tâm về các nhiệm vụ được giao theo CNNV như sau: • Phân công nhiệm vụ, đánh giá thực hiện công việc, đề xuất tuyển dụng, khen thưởng, kỉ luật và quan hệ lao động khác đối với các nhân sự thuộc Phòng; • Huấn luyện, kèm cặp, hướng dẫn chuyên môn cho nhân sự thuộc phạm vi quản lý. • Xây dựng và quản lý danh mục sáng kiến CĐS nội bộ, ưu tiên các đề xuất theo thứ tự: giá trị – mức độ rủi ro – mức độ sẵn sàng. • Chủ trì phân tích yêu cầu nghiệp vụ, chuyển hóa đề xuất cải tiến thành yêu cầu số hóa (BRD/User story,....).Phối hợp Khối CNTT triển khai, tổ chức UAT, nghiệm thu, go-live; đảm bảo phương án kiểm soát và phương án an toàn.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hà Nội, Chuyển Đổi Số, Ngân hàng, Quản Lý Dự Án, Điều Phối Dự Án, Quản Trị Thay Đổi, Nghiệp Vụ Ngân Hàng, Tập Đoàn Sun Group",https://www.vietnamworks.com/truong-phong-chuyen-doi-so-noi-bo-trung-tam-van-hanh-toi-uu-khoi-van-hanh-1998619-jv,2026-05-24 15:59:33.094157
"Technical Program Manager, Pixel Phone",Google,Thương lượng,HN,"A problem isn’t truly solved until it’s solved for all. That’s why Googlers build products that help create opportunities for everyone, whether down the street or across the globe. As a Technical Program Manager at Google, you’ll use your technical expertise to lead complex, multi-disciplinary projects from start to finish. You’ll work with stakeholders to plan requirements, identify risks, manage project schedules, and communicate clearly with cross-functional partners across the company. You're equally comfortable explaining your team's analyses and recommendations to executives as you are discussing the technical tradeoffs in product development with engineers. The Platforms and Devices team encompasses Google's various computing software platforms across environments (desktop, mobile, applications), as well as our first party devices and services that combine the best of Google AI, software, and hardware. Teams across this area research, design, and develop new technologies to make our user's interaction with computing faster and more seamless, building innovative experiences for our users around the world. • Manage project operations from proto builds through ramp and serve as technical lead in resolving complex issues during bring-up and life of product. • Lead a cross functional team of engineers in the development and support of new product introductions. • Lead project readiness; Identify, prioritize and manage key technical changes and risks of a given product, ensure all technical risks associated with a product are identified and closed or mitigated to enable the quality ramp of a product.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Urgent, Hà Nội, Kiến Trúc/Xây Dựng, Quản Lý Dự Án, Communication, Consumer Electronics, OEM Management, Program Management",https://www.vietnamworks.com/technical-program-manager-pixel-phone-2057325-jv,2026-05-24 15:59:40.492678
IT Security Governance & Compliance,CÔNG TY CỔ PHẦN VINSMART FUTURE,Thương lượng,HCM,"(Danh sách các chức năng/nhiệm vụ công việc thiết yếu, trách nhiệm và kỳ vọng – sử dụng dấu đầu dòng và ưu tiên các trách nhiệm chính lên đầu) Chịu trách nhiệm thiết lập và giám sát khung tuân thủ đối với toàn bộ hạ tầng công nghệ của dự án, bao gồm: • Các quy trình nghiệp vụ; hệ thống giao dịch và settlement. 2. Tuân thủ hệ thống giao dịch và giám sát giao dịch Đảm bảo giám sát cơ chế giám sát giao dịch tuân thủ quy định pháp luật hiện hành theo cơ chế thử nghiệm đã được cấp phép/chấp thuận từ cơ quan chức năng (transaction monitoring) đối với:","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hồ Chí Minh, Hà Nội, Blockchain Security, Fintech, Risk Control, Security Risk Assessment, Kyc System, Hồ Chí Minh, Hà Nội",https://www.vietnamworks.com/it-security-governance-and-compliance-2053551-jv,2026-05-24 15:59:42.054438
Chuyên Viên IT Phần Mềm / Dữ Liệu (Chuỗi Siêu Thị),Công Ty TNHH Bán Lẻ Fujimart Việt Nam,Thương lượng,HN,"- Quản trị Cơ sở dữ liệu SQL của ứng dụng Dsmart tại Fujimart (HO và các siêu thị thành viên) 2	Khai báo các thông tin đầu vào cho phần mềm quản lý bán lẻ - Thực hiện khai báo dữ liệu trên phần mềm quản lý bán lẻ tại Fujimart (hàng hóa, nhà cung cấp, voucher, khách hàng…) - Phối hợp với nhà cung cấp phần mềm để tìm nguyên nhân và khắc phục các lỗi phát sinh - Hỗ trợ tư vấn/ giải thích nghiệp vụ liên quan đến bán lẻ trên phần mềm cho các phòng ban liên quan","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hà Nội, Bán lẻ/Bán sỉ, Quản Trị Dữ Liệu, CSDL SQL, IT Phần Mềm, Dữ liệu & Phân tích, Công Nghệ Thông Tin, EuP Group",https://www.vietnamworks.com/chuyen-vien-it-phan-mem-du-lieu-chuoi-sieu-thi-2052139-jv,2026-05-24 15:59:51.090202
RPA Business Analyst Cum Tester,"Hansae HCM Co., Ltd",Thương lượng,HCM,"• Gather and analyze business requirements from users and related departments • Understand and document current business processes and workflow • Create process documents such as PDD, workflow diagrams, test scenarios, and UAT documents • Coordinate with RPA developers during automation development • Perform functional testing, UAT testing, and issue validation for UiPath automation projects","Tất cả danh mục, Dành cho Nhà tuyển dụng, Urgent, Hồ Chí Minh, Trang Văn hóa công ty, Dệt may/May mặc/Giày dép, UiPath, RPA, Business Analysis, IT Testing",https://www.vietnamworks.com/rpa-business-analyst-cum-tester-2056773-jv,2026-05-24 15:59:52.458143
Senior Enterprise Architect,Techcombank,Thương lượng,HN,"- Enterprise Architect leads initiatives using project management best practices and industry architecture frameworks. The Enterprise Architect leads design efforts, defines end-to-end architecture, oversees and performs research studies and presentations that include recommendations, and instructions for proposed implementations; formulating logical descriptions of problems; and recommending optimum solutions. - The job holder building an enterprise architecture management framework (EA): Building an overall architectural framework, technology standards, and design methods for all technology fields. - The job holder ensure architectural direction: Control designs in projects, BAUs, ensure architectural direction and technology standards are followed - Build general EA framework to meet Bank's business strategy - Build technology standards, design methods in each period to meet Bank's business strategy","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hà Nội, Trang Văn hóa công ty, Ngân hàng, Information Security, Banking System, BPM, Solution Architecture, Techcombank",https://www.vietnamworks.com/senior-enterprise-architect-2052915-jv,2026-05-24 15:59:59.674180
Senior Business Analyst (Ai/dữ Liệu/smart City),Công Ty Cổ Phần Vinsmart Future,Thương lượng,HCM,"Thu thập, phân tích và làm rõ yêu cầu nghiệp vụ từ các stakeholders (Business, Product, khách hàng). Chuyển đổi yêu cầu thànhBRD/URD/SRS/FSD, User Story, Acceptance Criteriađầy đủ, rõ ràng. Thiết kếbusiness flow, system flow, use case, rule logic, đặc biệt với các hệ thống phức tạp (campaign, reward, AI workflow, hệ thống nền tảng). Phối hợp chặt chẽ vớiProduct Owner/PMtrong quản lý phạm vi, estimation, planning và xử lýchange request. Là đầu mối làm rõ yêu cầu giữa Business – Tech, đảm bảo cân bằng giữabusiness value – technical feasibility – user value.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hà Nội, Hồ Chí Minh, Business Analysis, Product Owner, Embedded, NLP, Hà Nội, Hồ Chí Minh, IT Business Analyst",https://www.vietnamworks.com/senior-business-analyst-ai-du-lieu-smart-city-2050733-jv,2026-05-24 16:00:01.475609
RPA Developer,"Hansae HCM Co., Ltd",Thương lượng,HCM,"- Design, develop, and maintain RPA workflows in UIPath - Build fault tolerant automation processes outside of UIPath - Analyze and design logical processes that are fault tolerant, and minimize runtimes - Work with customers to make sure time-sensitive tasks are completed on time - Write documentation for processes and the workflow design","Tất cả danh mục, Dành cho Nhà tuyển dụng, Urgent, Hồ Chí Minh, Trang Văn hóa công ty, Phần Mềm Máy Tính, Dệt may/May mặc/Giày dép, RPA, UI Path, .Net",https://www.vietnamworks.com/rpa-developer--2056771-jv,2026-05-24 16:00:07.602333
Senior Officer Technology Risk Management,Techcombank,Thương lượng,HN,"1. Develop and maintain technology risk management framework, policies, procedures, guidelines - Develop principles and methodologies for technology risk management, establishing technology risk limit, key risk indicators ... according to international practices, legal regulations, and internal governance requirements - Standardize risk management activities including identifying, assessing, responding and monitoring technology and information security risks following industry best practice and international standards (NIST, ISO, COBIT ...) - Develop technology & information security threat/ vulnerability/ scenario/ control catalogs - Consult relevant units to develop BCP/DRP in bankwide level.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hà Nội, Trang Văn hóa công ty, Ngân hàng, Banking, Information System, IT Risk Management, DevSecOps, Cybersecurity",https://www.vietnamworks.com/senior-officer-technology-risk-management--2049786-jv,2026-05-24 16:00:10.535233
QA Game Tester,"Nexon Networks Vina Co. Ltd,",Thương lượng,HCM,Chúng tôi tuyển dụng Nhân viên kiểm soát chất lượng để đảm bảo chất lượng các trò chơi thông qua biện pháp kiểm tra thủ công. Ứng viên đủ tiêu chuẩn cần có đôi mắt tinh tường và có khả năng thiết lập các tình huống kiểm tra lỗi khác nhau. Yêu thích chơi game là một lợi thế. Ứng viên CẦN mô tả kinh nghiệm chơi Game hoặc kiến thức về Game trong CV bao gồm các tựa games mà bạn đã chơi qua. •	Kiểm soát các chức năng có độ phức tạp khác nhau. •	Báo cáo lỗi bằng cách sử dụng các công cụ theo dõi lỗi.,"Tất cả danh mục, Dành cho Nhà tuyển dụng, Hồ Chí Minh, Trang Văn hóa công ty, QA/QC/Software Testing, Game Testing, Quality Assurance, Manual Testing, English, Test Cases",https://www.vietnamworks.com/qa-game-tester--2046146-jv,2026-05-24 16:00:16.846529
Data Analyst,Home Credit Vietnam - Explore Your Dream Team,Thương lượng,HCM,"Supporting outbound and inbound calling performance optimization by analyzing dialer performance in Genesys and providing data-driven insights and recommendations. The role ensures effective campaign execution, data integrity, and continuous improvement of connection rate and sales productivity. Analyst focuses on analysis, reporting, and providing insights, recommendations, and ideas to support Sales Delivery and Telesales teams in implementation of strategies, enhancements and performance optimizations. • Analyze Genesys dialer logic, campaign configuration, and data structures to support performance reporting and optimization. • Track key dialing KPIs such as connection rate, conversion rate, productivity, call attempts, and Telco costs. • Review dialing strategies, including dialing modes, retry logic, call rules, and task prioritization to identify improvement opportunities.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hồ Chí Minh, Trang Văn hóa công ty, Tài Chính, Analytical Thinking, BI Tools, Data Analysis, Excel, SQL",https://www.vietnamworks.com/data-analyst-2052755-jv,2026-05-24 16:00:20.045320
UI Designer,Home Credit Vietnam - Explore Your Dream Team,Thương lượng,HCM,"*According to Decree No.13/2023/ND-CP on protecting personal data (“PDP”), Home Credit Vietnam would apply ""Personal Data Processing Agreement"" with all candidates to ensure compliance with the decree. By submitting this application to Home Credit Vietnam Finance Company Limited through Vietnamworks, you agree to allow Home Credit to proceed your provided information in accordance with Personal Data Processing Agreement that you have read, fully understood and agreed to the entire content at link https://career.homecredit.vn/en/article/agreement-notice-acceptance-for-personal-data-processing/ We’re looking for a UI Designer to build and continuously improve theDesign System for Home Credit Vietnam. You’ll create a scalable, reusable UI foundation that enables consistent experiences and faster delivery across products and squads. You’ll work at the bridge of design and engineering - applying atomic designprinciples, defining tokens and component standards, and ensuring the system is practical for implementation and measurable in impact (e.g., adoption, reuse, and UX performance signals). - Own and maintain the Home Credit Vietnam Design System in Figma (libraries, components, variables, and documentation)","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hồ Chí Minh, Trang Văn hóa công ty, UX/UI Design, Tài Chính, UI Design, Figma, Design system, UI/UX Design",https://www.vietnamworks.com/ui-designer--2051291-jv,2026-05-24 16:00:25.949961
Senior Analyst for Cash & Trade Finance,Sumitomo Mitsui Banking Corporation (SMBC),Thương lượng,HN,"1.	Business Development and Relationship Management Proactively build, nurture, and maintain strong relationships with financial institution customers, as well as support CBAP Corporate RMs through the Team Lead to promote trade finance and cash management products. This includes regular engagement through meetings, presentations, and follow-ups to identify and capture new business opportunities. The incumbent’s efforts directly influence the growth and profitability of the trade and cash business portfolio. Support GRM in preparation/ input to account plans & management briefing memos when required. Develop and execute strategies to market trade and cash financial products aligned with customer needs and organizational goals. Provide tailored financial solutions that enhance clients’ trade and deposit activities, ensuring outcomes that contribute to customer satisfaction and revenue generation. Collaborate closely with the Financial Institution Team Lead to prepare detailed business plans, sales forecasts, and marketing strategies for trade and cash business initiatives. Coordinate with internal teams to ensure implementation of plans and timely delivery of products and services. Assist in managing schedules, organizing client events or workshops, and maintaining accurate records of client interactions and business activities including registration of call reports in relevant internal systems 4.	Reporting, Pipeline update/ tracking, and Performance Analysis","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hà Nội, Quản Lý Dự Án Công Nghệ, Ngân hàng, Banking Operations, Business Analysis, Process Management, Product Launching, (Xem bản đồ)",https://www.vietnamworks.com/senior-analyst-for-cash-and-trade-finance-2052128-jv,2026-05-24 16:00:29.716678
3D Character Modeler,Công Ty TNHH Nexon Creative Studio VINA,3D Character Modeler,HCM,"• Thực hiện modeling nhân vật, trang phục, trang bị dựa trên phong cách và concept của dự án • Tạo modeling và texture chất lượng cao cho nhân vật dạng sinh vật hoặc hình người • Đăng ký và quản lý modeling resource trong engine • Thực hiện các công việc liên quan đến định nghĩa cấu trúc Bone, Skinning và áp dụng vào modeling • Tối ưu hóa tài nguyên và kiểm tra chất lượng sản phẩm","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hồ Chí Minh, Thiết Kế, Thiết Kế Đồ Họa, Game Art, Substance Painting, Unreal Engine, (Xem bản đồ), Ms. Đan",https://www.vietnamworks.com/3d-character-modeler--2048534-jv,2026-05-24 16:00:34.207302
Chuyên Viên Kiểm Thử Phần Mềm (Performance Tester) - Mã Số: Qldv-03,Chi Nhánh Trung Tâm Công Nghệ Thông Tin Tập Đoàn Bảo Việt,Chuyên Viên Kiểm Thử Phần Mềm (Performance Tester) - Mã Số: Qldv-03,HN,"- Thu thập các yêu cầu Non-Functional: response time, throughput, Concurrency, SLA... - Quản lý hạ tầng kiểm thử: nghiên cứu và thiết lập môi trường giả lập, các công cụ sinh dữ liệu (Test data) - Xây dựng và bảo trì các kịch bản và script kiểm thử hiệu năng - Thực hiện kiểm thử hiệu năng, tổng hợp và phân tích các chỉ số hệ thống, ghi nhận kết quả kiểm thử - Theo dõi việc xử lý lỗi và báo cáo tiến độ kiểm thử;","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hà Nội, QA/QC/Software Testing, Tài Chính, Kiểm Thử, Kiểm thử API, Kiểm Thử Phần Mềm, Kiểm thử Tích Hợp, Kiểm thử ứng dụng",https://www.vietnamworks.com/chuyen-vien-kiem-thu-phan-mem-performance-tester-ma-so-qldv-03-2030522-jv,2026-05-24 16:00:38.679914
Chuyên Viên Phân Tích Nghiệp Vụ (Business Analyst) - Mã Số: Qldv-01,Chi Nhánh Trung Tâm Công Nghệ Thông Tin Tập Đoàn Bảo Việt,Chuyên Viên Phân Tích Nghiệp Vụ (Business Analyst) - Mã Số: Qldv-01,HN,"- Thực hiện Phân tích đặc tả yêu cầu của các bộ phận nghiệp vụ và phối hợp với các bộ phận kỹ thuật đưa ra các giải pháp công nghệ đầy đủ và tư vấn lựa chọn phương án/giải pháp phù hợp nhất - Thực hiện xây dựng tài liệu đặc tả yêu cầu, tài liệu phân tích, tài liệu chức năng hệ thống; xây dựng mockup, prototype... - Thống nhất với bộ phận nghiệp vụ bằng các tài liệu phân tích nghiệp vụ - Đầu mối hỗ trợ nghiệp vụ với các bộ phận hoặc đối tác trong dự án được giao 2. Quản lý và thực hiện quá trình kiểm thử ứng dụng.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hà Nội, Tài Chính, SQL, Phân Tích Nghiệp Vụ, Kiểm thử ứng dụng, Phân Tích Dữ Liệu, Vận Hành Hệ Thống, (Xem bản đồ)",https://www.vietnamworks.com/chuyen-vien-phan-tich-nghiep-vu-business-analyst-ma-so-qldv-01-2030463-jv,2026-05-24 16:00:43.714010
Head of Service Delivery,Vietnam Australia International School (Vas),Thương lượng,HCM,"Head of Service Delivery is accountable for the end-to-end IT service experience across all campuses, ensuring reliable, high-quality, and user-centered services that directly support teaching, learning, and school operations. This role translates technology strategy into operational execution, owns service performance outcomes, and leads continuous improvement through data, governance, and strong stakeholder engagement. The Head of Service Delivery is responsible for leading and standardizing IT service delivery across all campuses, ensuring a consistent, high-quality user experience while accommodating site-specific needs. The role spans operational service management, team leadership, governance, and stakeholder engagement. This position owns end-to-end service delivery, including incident, request, and problem management, with accountability for service performance, SLA adherence, and risk mitigation. It provides functional leadership to campus IT teams, driving service standards, workforce capability, and a strong customer-focused culture. The role also establishes service governance frameworks, ensures alignment with group technology standards, and drives continuous improvement based on data and feedback. In addition, it serves as the primary escalation point for operational IT issues, maintains strong relationships with school and corporate stakeholders, and oversees vendor performance to ensure reliable and effective service delivery.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hồ Chí Minh, Trang Văn hóa công ty, Giáo dục/Đào Tạo, English, Project Management, IT Support, Service Management, Operations",https://www.vietnamworks.com/head-of-service-delivery-2048502-jv,2026-05-24 16:00:48.535964
Trưởng Phòng An Ninh Thông Tin (SOC & Pentest),Ngân Hàng TNHH MTV Kỷ Nguyên Thịnh Vượng - GPBank,"$ 2,000-3,500 /tháng Urgent",HN,"- Chịu trách nhiệm xây dựng, vận hành và nâng cao hiệu quả hoạt động của SOC nhằm giám sát, phát hiện, phân tích và xử lý kịp thời các sự cố an toàn thông tin, góp phần bảo vệ hệ thống, dữ liệu và hoạt động liên tục của Ngân hàng - Chịu trách nhiệm xây dựng, quản lý và triển khai hoạt động kiểm thử xâm nhập nhằm phát hiện sớm các lỗ hổng bảo mật, đánh giá mức độ rủi ro và hỗ trợ các đơn vị khắc phục, nâng cao mức độ an toàn hệ thống của Ngân hàng. - Quản lý và điều phối hoạt động của team SOC, đảm bảo hệ thống an ninh thông tin của Ngân hàng được triển khai, vận hành trơn tru - Xây dựng, chuẩn hóa và cải tiến các quy trình SOC bao gồm giám sát, phát hiện, phân tích, phản ứng và báo cáo sự cố an toàn thông tin. - Phân công, hướng dẫn và phát triển năng lực chuyên môn cho đội ngũ","Tất cả danh mục, Dành cho Nhà tuyển dụng, Urgent, Hà Nội, Ngân hàng, SOC, An Toàn Thông Tin, Bảo Mật Hệ Thống, An Ninh Bảo Mật, Cybersecurity",https://www.vietnamworks.com/truong-phong-an-ninh-thong-tin-soc-pentest-2036923-jv,2026-05-24 16:00:52.383166
Senior Software Engineer Fullstack,CÔNG TY CỔ PHẦN VINSMART FUTURE,Thương lượng,HCM,"- Thiết kế, phát triển và tối ưu kiến trúc hệ thống nhằm đảm bảo hiệu năng, khả năng mở rộng và tính ổn định của sản phẩm. - Xây dựng và tích hợp các dịch vụ Backend, Frontend và Mobile đáp ứng nhu cầu vận hành ở quy mô lớn. - Phối hợp với các đội ngũ kỹ thuật để triển khai giải pháp đồng bộ, bảo mật và tối ưu trải nghiệm người dùng. - Quản lý chất lượng mã nguồn, thiết lập quy trình code review và áp dụng các tiêu chuẩn phát triển phần mềm. - Theo dõi, cải thiện hiệu suất hệ thống và xử lý các vấn đề liên quan đến scalability, reliability và performance.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hà Nội, Hồ Chí Minh, Phần Mềm Máy Tính, Flutter, Golang, NextJs, PYTHON, ReactJs, Hà Nội",https://www.vietnamworks.com/senior-software-engineer-fullstack-2050636-jv,2026-05-24 16:00:58.609824
Senior Account Manager,Công Ty TNHH Diebold Nixdorf Việt Nam,Thương lượng,HN,"Expect more. Connect more. Be more at Diebold Nixdorf. Our teams automate, digitize, and transform the way more than 75 million people around the globe bank and shop in this hyper-connected, consumer-centric world. Join us in connecting people to commerce in this vital, rewarding role AtDiebold Nixdorf, we transform the way over 75 million people around the world bank and shop. We are global leaders in connected commerce, enabling seamless, secure, and modern customer experiences across the financial and retail sectors. Our portfolio includes advanced self-service technologies (ATMs, POS terminals), software platforms, cybersecurity, and managed services. Join us as we drive the future of banking building deep client partnerships and delivering cutting-edge solutions that power commerce across the globe. We are seeking a Senior Account Manager to lead our strategic sales and account development efforts in the Vietnam banking sector. This high-impact role requires a seasoned enterprise sales leader with deep industry knowledge and a proven ability to build long-term C-level client relationships, drive digital transformation agendas, and consistently deliver on aggressive sales targets. The successful candidate will own the full P&L of assigned banking accounts, manage the complete solution selling cycles, and orchestrate multi-disciplinary teams to deliver end-to-end value across our hardware, software and services solutions. The Sales shall be executed through our established partner ecosystem.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Urgent, Hà Nội, Kinh Doanh, Business Development, Account Management, Direct Sales, Banking Solution, Digital Transformation",https://www.vietnamworks.com/senior-account-manager--2049696-jv,2026-05-24 16:01:02.329908
Expert Technology Risk Management,Techcombank,Thương lượng,HN,"1. Develop and maintain technology risk management framework, policies, procedures, guidelines - Develop principles and methodologies for technology risk management, establishing technology risk limit, key risk indicators ... according to international practices, legal regulations, and internal governance requirements - Standardize risk management activities including identifying, assessing, responding and monitoring technology and information security risks following industry best practice and international standards (NIST, ISO, COBIT ...) - Develop technology & information security threat/ vulnerability/ scenario/ control catalogs - Consult relevant units to develop BCP/DRP in bankwide level.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hà Nội, Trang Văn hóa công ty, Ngân hàng, Information System, IT Risk Management, IT Infrastructure, IT Compliance, IT Audit",https://www.vietnamworks.com/expert-technology-risk-management--2052532-jv,2026-05-24 16:01:09.239880
Firmware Engineer,Công Ty TNHH Qorvo Việt Nam,"$ 500-2,000 /tháng",HN,"• Project coordination and tracking and technical lead for the team • Embedded firmware design (motor control, serial communications, device drivers) • Digital design IC verification using RTL and simulator (Cadence) • Mixed-signal IC bench characterization and evaluation • A minimum of a Bachelor’s degree in Computer Engineering, Electrical Engineering, Computer Science or related degree is required for this position.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hà Nội, Trang Văn hóa công ty, Phần Cứng Máy Tính, Điện/Điện tử, Embedded Programming C++, Firmware, Firmware Engineer, (Xem bản đồ)",https://www.vietnamworks.com/firmware-engineer-10--2051149-jv,2026-05-24 16:01:10.885934
Gia Nhập Vũ Trụ Công Nghệ Viettel - Vị Trí: Project Manager,Tổng Công Ty Giải Pháp Doanh Nghiệp Viettel (VTS),Thương lượng,HN,"Gia nhập“vũ trụ” công nghệ Viettel, nơi bạn không chỉ được “đắm chìm” trong hàng loạt công nghệ xịn xò như Big Data, AI, IoT, AR/VR, Cloud, Blockchain… mà còn được trao cơ hội thực hiện sứ mệnh quan trọng:“Chung tay cùng Chính phủ kiến tạo – Chính phủ số”, đồng hành với doanh nghiệp và người dân giải quyết các vấn đề cấp bách của xã hội, hướng tới một cuộc sống tốt đẹp hơn cho mọi người. TạiVTS (Tổng Công ty Giải pháp Doanh nghiệp Viettel),bạn sẽ được hiện thực hóa những ý tưởng táo bạo, tham gia vào các dự án công nghệ hàng đầu và phát triển giải pháp đột phá cho tương lai số. Đây chính là nơi khơi dậy đam mê, thúc đẩy sáng tạo và chắp cánh cho mọi ước mơ công nghệ của bạn. Sẵn sàng trở thành “ngôi sao sáng” trên hành trình chuyển đổi số và cùng Viettel tạo nên dấu ấn trong cuộc cách mạng công nghiệp 4.0?Let’s go! • Phối hợp với PMO, AM đưa ra lộ trình triển khai và chi phí dự án để làm việc với khách hàng • Xác định yêu cầu, mong muốn, phạm vi dự án với người BẢO TRỢ dự án và các bên liên quan (Stakeholder) như khách hàng, đối tác, nhà cung cấp... • Khởi tạo dự án: Xác định mục tiêu, phạm vi công việc dự án, các nguồn lực dự kiến của dự án, các bên liên quan tương tác đến dự án.","Tất cả danh mục, Dành cho Nhà tuyển dụng, Hà Nội, Quản Lý Dự Án Công Nghệ, Viễn thông, Quản Lý Dự Án, Quản Lý Rủi Ro, Kiểm Soát Tiến Độ Dự Án, Team Management, (Xem bản đồ)",https://www.vietnamworks.com/gia-nhap-vu-tru-cong-nghe-viettel-vi-tri-project-manager-2057112-jv,2026-05-24 16:01:18.989988
3D Rigger,Công Ty TNHH Nexon Creative Studio VINA,3D Rigger,HCM,"• Thực hiện rigging và skinning cho character, monster, costume • Setup và quản lý IK retargeting trên nền tảng Unreal Engine (UE) • Thiết lập simulation để triển khai chuyển động vật lý • Thiết kế controller và cấu trúc xương (bone) để tạo sự liên kết giữa animation và môi trường engine • Hỗ trợ thiết lập rig cho việc dàn dựng video và tạo cutscene","Tất cả danh mục, Dành cho Nhà tuyển dụng, Urgent, Hồ Chí Minh, Thiết Kế, Thiết Kế Đồ Họa, Skinning, Game Design, Unreal Engine, (Xem bản đồ)",https://www.vietnamworks.com/3d-rigger--2045325-jv,2026-05-24 16:01:19.377548
